Tool,Aggregation,Threshold,n_pep,n_valid_pep_for_spearman,n_pos,n_neg,AUC_ROC,AUPRC,Spearman_rho,Spearman_pval
DeepImmuno,max,>0,101,101,90,11,0.4813,0.8951,-0.1168,0.2449
DeepImmuno,max,>10,101,101,64,37,0.5188,0.6632,-0.1168,0.2449
DeepImmuno,max,>median,101,101,50,51,0.4535,0.4929,-0.1168,0.2449
DeepImmuno,mean,>0,101,101,90,11,0.5192,0.8871,-0.1494,0.136
DeepImmuno,mean,>10,101,101,64,37,0.4717,0.6209,-0.1494,0.136
DeepImmuno,mean,>median,101,101,50,51,0.4431,0.4757,-0.1494,0.136
DeepImmuno,top3mean,>0,101,101,90,11,0.499,0.9001,-0.1248,0.2139
DeepImmuno,top3mean,>10,101,101,64,37,0.5177,0.6572,-0.1248,0.2139
DeepImmuno,top3mean,>median,101,101,50,51,0.4439,0.4871,-0.1248,0.2139
PredIG,max,>0,101,101,90,11,0.6611,0.9411,0.1983,0.0468
PredIG,max,>10,101,101,64,37,0.5576,0.6771,0.1983,0.0468
PredIG,max,>median,101,101,50,51,0.5676,0.5619,0.1983,0.0468
PredIG,mean,>0,101,101,90,11,0.7495,0.9592,0.2797,0.0046
PredIG,mean,>10,101,101,64,37,0.6309,0.7221,0.2797,0.0046
PredIG,mean,>median,101,101,50,51,0.6145,0.5898,0.2797,0.0046
PredIG,top3mean,>0,101,101,90,11,0.6626,0.939,0.2042,0.0406
PredIG,top3mean,>10,101,101,64,37,0.5644,0.6922,0.2042,0.0406
PredIG,top3mean,>median,101,101,50,51,0.5712,0.5629,0.2042,0.0406
IMPROVE,max,>0,101,101,90,11,0.6207,0.9221,0.2434,0.0142
IMPROVE,max,>10,101,101,64,37,0.6556,0.7599,0.2434,0.0142
IMPROVE,max,>median,101,101,50,51,0.5982,0.6211,0.2434,0.0142
IMPROVE,mean,>0,101,101,90,11,0.6182,0.9184,0.2074,0.0374
IMPROVE,mean,>10,101,101,64,37,0.6149,0.7349,0.2074,0.0374
IMPROVE,mean,>median,101,101,50,51,0.6027,0.61,0.2074,0.0374
IMPROVE,top3mean,>0,101,101,90,11,0.6258,0.9212,0.3202,0.0011
IMPROVE,top3mean,>10,101,101,64,37,0.6805,0.7859,0.3202,0.0011
IMPROVE,top3mean,>median,101,101,50,51,0.6455,0.654,0.3202,0.0011
NeoTImmuML,max,>0,101,101,90,11,0.6551,0.9421,0.0218,0.8285
NeoTImmuML,max,>10,101,101,64,37,0.5046,0.6374,0.0218,0.8285
NeoTImmuML,max,>median,101,101,50,51,0.5173,0.5155,0.0218,0.8285
NeoTImmuML,mean,>0,101,101,90,11,0.5758,0.9251,0.0966,0.3365
NeoTImmuML,mean,>10,101,101,64,37,0.5503,0.6962,0.0966,0.3365
NeoTImmuML,mean,>median,101,101,50,51,0.5671,0.6096,0.0966,0.3365
NeoTImmuML,top3mean,>0,101,101,90,11,0.6551,0.9421,0.0218,0.8285
NeoTImmuML,top3mean,>10,101,101,64,37,0.5046,0.6374,0.0218,0.8285
NeoTImmuML,top3mean,>median,101,101,50,51,0.5173,0.5155,0.0218,0.8285
pTuneos,max,>0,101,101,90,11,0.7525,0.9494,0.1363,0.1741
pTuneos,max,>10,101,101,64,37,0.5796,0.6552,0.1363,0.1741
pTuneos,max,>median,101,101,50,51,0.5304,0.4936,0.1363,0.1741
pTuneos,mean,>0,101,101,90,11,0.7813,0.9683,0.0297,0.7679
pTuneos,mean,>10,101,101,64,37,0.5087,0.6358,0.0297,0.7679
pTuneos,mean,>median,101,101,50,51,0.4582,0.4471,0.0297,0.7679
pTuneos,top3mean,>0,101,101,90,11,0.7293,0.9492,0.0905,0.3681
pTuneos,top3mean,>10,101,101,64,37,0.5598,0.6471,0.0905,0.3681
pTuneos,top3mean,>median,101,101,50,51,0.5069,0.4753,0.0905,0.3681
PRIME,max,>0,100,100,89,11,0.5276,0.9146,0.1163,0.2491
PRIME,max,>10,100,100,63,37,0.5897,0.7041,0.1163,0.2491
PRIME,max,>median,100,100,50,50,0.5848,0.5674,0.1163,0.2491
PRIME,mean,>0,100,100,89,11,0.5414,0.8884,0.1637,0.1036
PRIME,mean,>10,100,100,63,37,0.5933,0.6977,0.1637,0.1036
PRIME,mean,>median,100,100,50,50,0.5892,0.5984,0.1637,0.1036
PRIME,top3mean,>0,100,100,89,11,0.549,0.9169,0.1682,0.0944
PRIME,top3mean,>10,100,100,63,37,0.6006,0.7375,0.1682,0.0944
PRIME,top3mean,>median,100,100,50,50,0.6042,0.6289,0.1682,0.0944
ImmuneApp,max,>0,101,101,90,11,0.5889,0.908,0.0885,0.3786
ImmuneApp,max,>10,101,101,64,37,0.5241,0.6496,0.0885,0.3786
ImmuneApp,max,>median,101,101,50,51,0.5188,0.5098,0.0885,0.3786
ImmuneApp,mean,>0,101,101,90,11,0.6444,0.9301,0.0434,0.6666
ImmuneApp,mean,>10,101,101,64,37,0.5207,0.6597,0.0434,0.6666
ImmuneApp,mean,>median,101,101,50,51,0.5149,0.5538,0.0434,0.6666
ImmuneApp,top3mean,>0,101,101,90,11,0.5384,0.8874,0.0533,0.5965
ImmuneApp,top3mean,>10,101,101,64,37,0.5198,0.6575,0.0533,0.5965
ImmuneApp,top3mean,>median,101,101,50,51,0.5406,0.5361,0.0533,0.5965
deepHLApan,max,>0,98,98,88,10,0.4188,0.9038,0.0415,0.6847
deepHLApan,max,>10,98,98,63,35,0.571,0.7133,0.0415,0.6847
deepHLApan,max,>median,98,98,50,48,0.561,0.577,0.0415,0.6847
deepHLApan,mean,>0,98,98,88,10,0.4398,0.8585,-0.0352,0.7309
deepHLApan,mean,>10,98,98,63,35,0.5161,0.6517,-0.0352,0.7309
deepHLApan,mean,>median,98,98,50,48,0.565,0.576,-0.0352,0.7309
deepHLApan,top3mean,>0,98,98,88,10,0.4261,0.9058,0.0475,0.6422
deepHLApan,top3mean,>10,98,98,63,35,0.5728,0.7095,0.0475,0.6422
deepHLApan,top3mean,>median,98,98,50,48,0.5625,0.5693,0.0475,0.6422
